id,count
0,94.64
1,227.76
2,95.47
4,28.915
5,68.66
10,121.515
11,147.575
12,326.405
15,39.775
17,132.605
18,298.78
23,243.64
25,83.66
26,39.4
31,199.945
39,129.845
40,25.465
41,176.13
42,374.09
43,147.625
51,192.97
52,89.92
54,17.305
60,138.485
61,144.56
62,104.275
63,29.875
65,113.93
66,109.93
68,129.955
71,73.05
80,30.34
82,69.425
94,133.065
98,255.735
101,34.925
102,131.48
107,173.42
112,231.57
113,72.18
115,59.265
116,119.655
120,152.77
121,76.49
122,330.095
132,209.42
143,75.68
147,63.215
150,17.145
151,84.925
152,222.095
153,90.65
155,176.355
156,113.375
159,188.975
161,127.055
163,47.9
177,168.835
186,17.3
188,19.865
190,88.27
191,88.065
192,261.005
195,305.05
200,153.845
209,313.81
210,14.78
211,198.5
214,135.165
215,24.13
218,104.45
219,32.92
222,134.255
225,14.655
228,317.15
236,192.98
241,37.68
242,158.865
243,199.875
245,18.135
247,252.56
251,131.53
252,76.845
253,83.35
254,89.76
258,322.03
260,51.82
261,165.565
265,89.945
266,278.25
267,299.135
269,149.845
270,67.395
275,99.455
278,36.265
279,84.915
286,90.1
287,29.735
288,210.78
289,145.415
293,18.185
294,126.895
297,43.06
302,122.945
303,74.745
304,74.425
307,100.565
309,15.825
311,176.715
312,136.19
314,173.35
315,194.705
319,160.66
322,109.53
323,66.505
325,109.095
327,241.54
330,38.63
332,195.215
333,17.535
338,100.11
341,112.3
345,185.505
348,104.69
349,45.935
350,116.65
352,55.415
355,18.84
356,229.035
358,53.28
363,120.6
369,176.075
371,18.34
372,121.325
375,299.63
380,132.155
388,45.25
391,131.475
392,261.055
393,371.39
394,205.155
396,27.125
401,37.255
407,81.765
409,101.905
410,109.705
416,81.705
418,117.335
420,137.185
421,221.48
422,121.55
424,286.995
428,327.755
429,223.475
431,159.62
435,14.015
439,109.765
441,12.95
447,81.725
449,127.82
451,133.54
452,15.505
454,205.345
458,226.31
463,123.43
467,13.775
470,247.175
471,150.685
474,284.815
478,14.645
483,128.115
484,107.73
485,88.435
486,123.765
491,98.595
494,102.475
495,237.295
497,196.315
499,148.42
515,113.875
518,224.865
521,187.71
525,140.74
529,250.73
532,139.755
534,80.22
540,95.445
544,305.805
547,163.12
549,44.48
563,35.22
564,145.65
567,125.205
572,105.98
577,113.895
578,240.705
585,331.3
588,137.8
589,111.28
590,106.185
592,15.875
594,244.595
596,15.14
598,337.935
599,136.125
605,32.445
606,118.735
607,261.385
608,219.42
609,65.785
610,287.725
611,198.9
614,132.99
615,218.89
616,244.39
617,124.27
618,241.365
624,121.09
629,125.355
631,91.72
633,92.925
637,25.52
638,101.27
643,59.98
644,141.185
645,35.59
646,204.485
648,183.095
650,36.13
651,205.19
652,266.08
656,107.085
657,16.87
659,82.42
660,197.085
662,99.8
665,377.445
675,321.695
681,156.395
682,200.955
685,20.145
686,194.73
689,23.625
696,135.845
703,141.695
704,95.325
705,129.305
714,236.2
717,100.765
718,13.865
720,72.35
721,247.96
723,225.845
726,187.47
728,150.5
730,208.96
731,27.34
734,361.805
737,70.665
738,18.18
745,129.81
746,26.105
749,229.515
752,23.965
753,162.805
758,232.955
765,16.135
766,230.49
768,86.38
769,178.115
774,128.32
775,101.755
781,56.595
784,325.455
794,18.64
795,275.33
796,81.63
802,163.5
803,214.73
805,35.725
806,288.27
807,96.61
809,15.37
810,143.2
812,208.32
814,118.415
818,247.55
819,145.825
825,57.27
836,104.415
839,120.385
847,264.87
848,191.465
851,110.34
852,132.82
853,31.365
857,140.145
858,45.435
859,217.41
861,24.265
867,99.07
870,218.435
871,203.28
872,205.915
874,366.68
881,183.735
886,131.875
890,58.49
895,159.09
899,88.245
900,279.065
901,262.02
902,230.155
903,43.385
913,253.44
918,196.69
923,132.0
924,38.715
926,27.675
927,19.52
930,212.325
934,30.115
937,127.67
939,91.38
941,83.36
942,374.15
946,271.295
950,99.57
953,75.855
959,90.79
961,26.835
962,88.005
964,87.585
969,185.3
971,148.625
976,42.42
978,236.885
980,236.495
981,132.065
990,373.31
993,19.16
996,21.38
998,318.7
999,170.625
1006,117.265
1008,13.98
1013,27.585
1015,98.95
1016,113.7
1022,303.62
1026,214.425
1028,234.43
1031,70.875
1034,52.82
1037,159.885
1040,65.805
1042,19.78
1046,18.485
1048,98.06
1049,106.485
1050,64.045
1051,217.84
1052,237.0
1055,215.525
1060,161.46
1064,25.56
1066,64.59
1071,98.72
1073,15.115
1089,194.75
1091,93.415
1092,65.635
1093,241.91
1096,308.95
1097,228.55
1098,19.31
1099,37.465
1102,188.38
1107,99.17
1109,42.45
1111,147.955
1112,115.54
1114,305.35
1116,288.415
1117,112.255
1118,81.05
1122,130.27
1124,165.835
1127,121.805
1133,216.55
1134,38.77
1135,146.53
1139,291.845
1143,55.655
1150,122.535
1151,115.33
1153,284.465
1155,27.215
1162,26.66
1163,220.985
1166,22.375
1171,91.735
1172,13.47
1173,249.33
1174,90.53
1177,111.96
1178,168.28
1184,187.415
1185,111.695
1186,121.55
1187,176.58
1188,281.565
1191,132.005
1207,122.55
1213,45.56
1215,127.09
1223,165.18
1227,117.48
1236,55.26
1237,54.245
1238,18.68
1241,28.77
1248,17.285
1250,38.76
1251,156.255
1253,116.52
1255,99.65
1257,153.865
1261,117.205
1262,336.105
1265,120.835
1273,185.9
1277,264.405
1278,107.05
1280,116.425
1284,219.625
1285,329.92
1288,31.62
1295,111.125
1297,352.745
1299,252.37
1304,150.965
1308,41.39
1310,96.34
1311,112.81
1314,93.825
1315,99.63
1318,31.56
1320,322.825
1321,293.17
1322,237.705
1330,113.48
1333,159.975
1334,218.355
1341,117.665
1344,115.785
1351,239.68
1354,102.01
1356,57.63
1363,117.025
1365,195.95
1369,123.44
1373,115.905
1375,112.3
1377,88.975
1379,125.32
1380,272.99
1381,98.62
1384,171.995
1390,161.705
1393,238.185
1395,52.51
1399,329.34
1400,96.145
1401,168.82
1404,156.025
1408,15.195
1409,27.48
1413,217.655
1416,281.82
1418,97.895
1423,99.52
1424,26.15
1425,14.035
1433,228.645
1434,137.7
1436,337.465
1442,244.875
1444,83.53
1445,123.08
1452,224.505
1455,157.025
1462,68.09
1467,64.58
1472,44.115
1475,208.725
1493,106.475
1501,234.585
1503,306.485
1504,220.825
1505,13.61
1511,200.605
1512,53.945
1513,76.675
1514,35.765
1528,235.805
1533,224.28
1534,27.96
1536,148.54
1537,67.78
1539,216.42
1550,213.64
1552,212.12
1554,201.315
1555,372.715
1556,102.41
1559,35.16
1563,233.685
1566,127.815
1567,168.015
1568,26.86
1571,231.53
1572,16.88
1574,46.89
1577,17.29
1583,96.685
1585,30.96
1586,183.95
1587,181.01
1596,128.29
1602,37.7
1604,77.975
1605,32.185
1610,299.855
1611,94.5
1616,32.25
1617,98.56
1618,14.925
1622,42.66
1623,35.3
1628,300.115
1631,15.675
1632,192.76
1633,243.5
1634,322.155
1636,218.57
1637,104.565
1643,123.55
1644,99.525
1646,91.945
1648,203.335
1651,34.935
1656,19.65
1658,138.225
1659,17.55
1665,189.965
1666,138.805
1670,42.36
1674,151.85
1679,206.18
1680,214.5
1683,331.56
1686,26.12
1691,96.09
1693,38.065
1696,39.51
1697,95.49
1703,98.375
1706,25.67
1709,156.53
1710,85.97
1712,176.535
1713,117.23
1718,336.825
1719,180.415
1722,281.945
1723,117.7
1724,281.325
1728,60.5
1730,29.265
1732,27.47
1737,40.04
1745,88.075
1747,14.525
1748,15.225
1755,100.72
